Date,Total_cases,Active_cases,Total_deaths,Total_recovered,New_cases,New_recovered,New_deaths
12-May-20,10093,7223,544,2326,347,154,11
11-May-20,9746,7041,533,2172,346,97,8
10-May-20,9400,6800,525,2075,436,73,11
9-May-20,8964,6448,514,2002,488,57,11
8-May-20,8476,6028,503,1945,495,58,21
7-May-20,7981,5612,482,1887,393,72,13
6-May-20,7588,5304,469,1815,387,85,17
5-May-20,7201,5019,452,1730,388,98,16
4-May-20,6813,4745,436,1632,348,70,7
3-May-20,6465,4474,429,1562,272,40,14
2-May-20,6193,4256,415,1522,298,62,9
1-May-20,5895,4029,406,1460,358,79,14
30-Apr-20,5537,3764,392,1381,269,46,12
29-Apr-20,5268,3553,380,1335,226,31,21
28-Apr-20,5042,3379,359,1304,260,68,22
27-Apr-20,4782,3209,337,1236,248,60,20
26-Apr-20,4534,3041,317,1176,215,62,10
25-Apr-20,4319,2898,307,1114,227,39,13
24-Apr-20,4092,2723,294,1075,201,71,7
23-Apr-20,3891,2600,287,1004,232,69,11
22-Apr-20,3659,2448,276,935,169,65,12
21-Apr-20,3490,2356,264,870,157,49,14
20-Apr-20,3333,2262,250,821,189,89,11
19-Apr-20,3144,2173,239,732,112,31,15
18-Apr-20,3032,2107,224,701,188,55,19
17-Apr-20,2844,1993,205,646,171,50,9
16-Apr-20,2673,1881,196,596,168,43,13
15-Apr-20,2505,1769,183,553,155,39,5
14-Apr-20,2350,1658,178,514,160,26,14
13-Apr-20,2190,1538,164,488,125,41,5
12-Apr-20,2065,1459,159,447,126,21,13
11-Apr-20,1939,1367,146,426,145,42,11
10-Apr-20,1794,1275,135,384,95,36,17
9-Apr-20,1699,1233,118,348,139,43,15
8-Apr-20,1560,1152,103,305,110,29,9
7-Apr-20,1450,1080,94,276,128,17,9
6-Apr-20,1322,978,85,259,149,12,7
5-Apr-20,1173,848,78,247,103,6,7
4-Apr-20,1070,758,71,241,85,25,5
3-Apr-20,985,703,66,216,120,15,8
2-Apr-20,865,606,58,201,86,22,6
1-Apr-20,779,548,52,179,69,22,6
31-Mar-20,710,507,46,157,54,7,5
30-Mar-20,656,465,41,150,47,18,1
29-Mar-20,609,437,40,132,33,11,4
28-Mar-20,576,419,36,121,40,5,6
27-Mar-20,536,390,30,116,41,14,6
26-Mar-20,495,369,24,102,39,7,3
25-Mar-20,456,340,21,95,54,15,1
24-Mar-20,402,302,20,80,36,12,1
23-Mar-20,366,279,19,68,39,12,5
22-Mar-20,327,257,14,56,33,15,4
21-Mar-20,294,243,10,41,9,2,2
20-Mar-20,285,238,8,39,29,7,2
19-Mar-20,256,218,6,32,60,0,0
18-Mar-20,196,158,6,32,0,0,2
17-Mar-20,196,160,4,32,46,5,2
16-Mar-20,150,121,2,27,40,0,0
15-Mar-20,110,87,2,27,1,0,0
14-Mar-20,109,80,2,27,29,0,0
13-Mar-20,80,51,2,27,13,0,1
12-Mar-20,67,39,1,27,7,0,0
11-Mar-20,60,32,1,27,1,26,0
10-Mar-20,59,57,1,1,4,0,0
9-Mar-20,55,53,1,1,6,0,0
8-Mar-20,49,47,1,1,34,0,1
7-Mar-20,15,14,0,1,0,0,0
6-Mar-20,15,14,0,1,12,0,0
5-Mar-20,3,2,0,1,1,0,0
4-Mar-20,2,1,0,1,0,0,0
3-Mar-20,2,1,0,1,0,0,0
2-Mar-20,2,1,0,1,0,0,0
1-Mar-20,2,1,0,1,1,0,0
29-Feb-20,1,0,0,1,0,0,0
28-Feb-20,1,0,0,1,0,1,0
27-Feb-20,1,1,0,0,0,0,0
26-Feb-20,1,1,0,0,0,0,0
25-Feb-20,1,1,0,0,0,0,0
24-Feb-20,1,1,0,0,0,0,0
23-Feb-20,1,1,0,0,0,0,0
22-Feb-20,1,1,0,0,0,0,0
21-Feb-20,1,1,0,0,0,0,0
20-Feb-20,1,1,0,0,0,0,0
19-Feb-20,1,1,0,0,0,0,0
18-Feb-20,1,1,0,0,0,0,0
17-Feb-20,1,1,0,0,0,0,0
16-Feb-20,1,1,0,0,0,0,0
15-Feb-20,1,1,0,0,0,0,0
14-Feb-20,1,1,0,0,0,0,0
